DATE,NET CODE,SPECIES,SEX,REPRO,RECAPT,TIME
6/19/2002,1,M. lucy,F,PR,0,22:00
6/20/2002,5,E. fusc,F,NR,0,21:15
6/20/2002,5,M. lucy,F,PR,0,23:15
6/20/2002,8,M. lucy,M,NR,0,22:45
6/19/2002,11,M. lucy,F,NR,0,22:15
6/21/2002,14,E. fusc,M,NR,0,21:45
6/21/2002,16,E. fusc,M,NR,0,21:00
6/21/2002,19,M. lucy,F,NR,0,20:30
6/21/2002,19,E. fusc,M,NR,0,23:30
6/23/2002,15,M. leib,F,NR,0,22:30
6/23/2002,19,E. fusc,M,NR,0,21:45
6/23/2002,16,M. leib,F,PR,0,22:30
6/24/2002,25,E. fusc,M,NR,0,21:00
6/24/2002,26,M. lucy,M,NR,0,21:15
6/24/2002,26,M. lucy,F,PR,0,21:15
6/24/2002,26,M. lucy,M,NR,0,21:15
6/24/2002,28,M. lucy,F,LA,0,21:15
6/24/2002,28,L. cine,F,LA,0,21:00
6/24/2002,28,M. lucy,M,NR,0,22:00
6/24/2002,28,E. fusc,F, LA,0,0:30
6/25/2002,25,M. lucy,F,PR,0,1:00
6/25/2002,27,M. lucy,F,LA,0,21:15
6/25/2002,27,E. fusc,F,LA,0,23:00
7/31/2002,33,L. cine,M,JV,0,1:45
7/30/2002,35,E. fusc,M,JV,0,23:30
7/30/2002,35,M. sept,M,JV,0,23:30
7/31/2002,35,L. bore,M,JV,0,21:00
7/31/2002,35,M. sept,M,NR,0,0:30
7/31/2002,35,E. fusc,F,JV,0,1:30
7/6/2006,38,M. lucy,F,LA,0,22:45
7/6/2006,38,M. lucy,F,LA,0,1:00
7/6/2006,41,E. fusc,F,LA,0,22:00
7/6/2006,41,E. fusc,F,LA,0,0:30
7/7/2006,41,M. lucy,M,NR,0,21:00
7/7/2006,41,M. sept,M,NR,0,23:30
7/6/2006,42,E. fusc,M,NR,0,21:00
7/6/2006,42,M. lucy,F,NR,0,21:00
7/7/2006,42,M. lucy,M,NR,0,22:30
7/7/2006,42,M. lucy,M,NR,0,22:30
7/7/2006,43,M. lucy,M,JV,0,23:30
7/7/2006,43,M. lucy,M,NR,0,20:45
7/7/2006,43,M. lucy,F,NR,0,20:45
7/7/2006,43,M. lucy,M,SC,0,20:45
7/7/2006,43,M. lucy,M,NR,0,20:45
7/7/2006,43,M. lucy,F,LA,0,20:45
7/7/2006,43,M. lucy,F,LA,0,20:45
7/7/2006,43,M. lucy,F,LA,0,20:45
7/7/2006,43,M. lucy,F,LA,0,20:45
7/7/2006,43,M. lucy,F,JV,0,20:45
7/7/2006,43,M. lucy,F,LA,0,20:45
7/7/2006,43,M. lucy,F, LA,0,20:45
7/7/2006,44,E. fusc,M,NR,0,22:30
7/7/2006,44,E. fusc,M,NR,0,22:30
7/7/2006,46,E. fusc,F,NR,0,21:15
7/7/2006,46,E. fusc,M,SC,0,22:00
7/7/2006,46,E. fusc,F,NR,0,22:00
7/7/2006,46,M. lucy,F,JV,0,0:00
7/7/2006,46,E. fusc,M,NR,0,0:15
7/7/2006,46,M. lucy,M,JV,0,0:30
7/7/2006,46,M. sept,M,JV,0,0:30
7/7/2006,46,M. lucy,M,JV,0,0:30
7/6/2006,47,M. lucy,M,NR,0,22:45
7/6/2006,47,M. lucy,F,LA,0,23:15
7/7/2006,47,M. lucy,F,LA,0,20:45
7/7/2006,48,M. leib,F,LA,0,22:00
7/8/2006,50,M. lucy,F,LA,0,1:15
7/8/2006,50,M. lucy,M,JV,0,1:15
7/8/2006,56,E. fusc,F,LA,0,21:00
7/8/2006,56,E. fusc,M,SC,0,21:30
7/8/2006,56,E. fusc,M,SC,0,22:30
