NET,YEAR,First Night,NIGHTS,NET SIZE,NET HEIGHT,HABITAT,LAT,LONG,PONDm,PONDd,HILLm,,
1,2002,6/19/2002,2,9,1,ROAD,42.926651,71.629058,974,S,3431,,
2,2002,6/19/2002,2,18,1,POND,42.926726,71.629324,1150,S,3520,,
3,2002,6/19/2002,2,9,2,POND,42.926726,71.629324,1150,S,3520,,
4,2002,6/19/2002,2,9,1,ROAD,42.926651,71.629058,974,S,3431,,
5,2002,6/19/2002,2,12,C,TRAIL,42.926978,71.629289,775,S,3283,,
6,2002,6/19/2002,2,6,C,TRAIL,42.923587,71.625144,1660,S,4030,,
7,2002,6/19/2002,1,12,1,POND,42.923587,71.625144,1630,S,4045,,
8,2002,6/20/2002,1,24,1,STREAM,42.923027,71.624522,1610,S,4063,,
9,2002,6/19/2002,2,9,1,POND,42.937592,71.622241,1160,E,3350,,
10,2002,6/19/2002,2,18,1,POND,42.938781,71.621815,1130,E,3370,,
11,2002,6/19/2002,2,6,1,POND,42.940349,71.621459,1390,E,3400,,
12,2002,6/20/2002,1,6,1,POND,42.938781,71.621815,1130,E,3370,,
13,2002,6/21/2002,2,9,1,POND,42.944843,71.653974,1464,E,735,,
14,2002,6/21/2002,2,6,1,POND,42.944375,71.654184,1478,W,608,,
15,2002,6/21/2002,2,9,1,FIELD,42.944213,71.653599,1378,E,773,,
16,2002,6/21/2002,2,6,1,TRAIL,42.949875,71.656081,2036,N,470,,
17,2002,6/21/2002,2,9,2,FIELD,42.948954,71.655871,1970,N,674,,
18,2002,6/21/2002,2,9,1,ROAD,42.948059,71.656018,1766,N,551,,
19,2002,6/21/2002,2,12,C,ROAD,42.945158,71.668411,2520,W,211,,
20,2002,6/21/2002,1,12,1,POND,42.944903,71.668230,2481,W,195,,
21,2002,6/23/2002,1,12,C,POND,42.944190,71.653663,2411,W,170,,
22,2002,6/23/2002,1,12,1,POND,42.944880,71.667901,2403,W,210,,
23,2002,6/23/2002,1,12,1,POND,42.944496,71.651194,1297,N,916,,
24,2002,6/23/2002,1,18,1,POND,42.944460,71.651085,1302,N,921,,
25,2002,6/24/2002,2,12,C,TRAIL,42.924509,71.650645,1317,W,2474,,
26,2002,6/24/2002,2,18,1,POND,42.924808,71.651498,1356,W,2440,,
27,2002,6/24/2002,2,9,2,POND,42.941860,71.635412,536,N,2275,,
28,2002,6/24/2002,2,30,1,POND,42.941498,71.635343,480,N,2295,,
29,2002,6/24/2002,2,9,1,FIELD,42.941097,71.634941,449,N,2313,,
30,2002,6/25/2002,1,12,1,POND,42.924774,71.651986,1395,W,2103,,
31,2002,6/25/2002,2,12,C,TRAIL,42.948725,71.624751,1603,N,3138,,
32,2002,6/25/2002,2,18,1,POND,42.948465,71.625738,1569,N,3092,,
33,2002,6/31/2002,1,6,1,TRAIL,42.949285,71.622788,1701,N,3236,,
34,2002,6/31/2002,1,12,2,TRAIL,42.949239,71.622841,1702,N,3236,,
35,2002,7/30/2002,2,6,1,FIELD,42.937271,71.650267,798,W,1341,,
36,2002,7/30/2002,2,6,1,TRAIL,42.936335,71.649824,738,W,1458,,
37,2002,7/30/2002,2,6,C,TRAIL,42.935783,71.649470,687,W,1565,,
38,2006,7/6/2006,2,6,2,TRAIL,42.944426,71.667953,2410,W,216,,
39,2006,7/6/2006,2,6,1,POND,42.944677,71.667986,2437,W,214,,
40,2006,7/6/2006,2,18,1,POND,42.944867,71.668032,2451,W,199,,
41,2006,7/6/2006,2,9,C,ROAD,42.945178,71.668376,2504,W,217,,
42,2006,7/6/2006,5,9,2,ROAD,42.944754,71.666622,2307,W,121,,
43,2006,7/7/2006,1,9,1,POND,42.944855,71.666891,2348,N,120,,
44,2006,7/7/2006,1,9,1,TRAIL,42.943777,71.658865,1717,W,344,,
45,2006,7/7/2006,1,9,1,TRAIL,42.944695,71.652126,1710,W,400,,
46,2006,7/7/2006,1,9,1,ROAD,42.944451,71.659831,1846,N,225,,
47,2006,7/6/2006,3,9,1,ROAD,42.948450,71.656055,1894,N,582,,
48,2006,7/6/2006,3,9,1,TRAIL,42.949678,71.656010,1991,N,655,,
49,2006,7/6/2006,3,6,1,TRAIL,42.951018,71.655204,2018,N,815,,
50,2006,7/6/2006,2,6,1,TRAIL,42.951029,71.655417,2067,N,800,,
51,2006,7/7/2006,2,9,1,TRAIL,42.948450,71.656055,1894,N,582,,
52,2006,7/7/2006,2,9,1,TRAIL,42.948610,71.656347,1911,N,555,,
53,2006,7/7/2006,2,9,1,TRAIL,42.947537,71.655765,1807,N,520,,
55,2006,7/8/2006,3,9,1,POND,42.944780,71.654001,1484,N,679,,
56,2006,7/8/2006,3,9,2,ROAD,42.944828,71.653719,1468,N,707,,
57,2006,7/8/2006,3,9,1,TRAIL,42.944107,71.664913,1980,W,279,,
58,2006,7/8/2006,3,9,1,ROAD,42.944783,71.658835,1828,W,294,,
59,2006,7/8/2006,3,9,1,TRAIL,42.944730,71.658215,1763,W,328,,
60,2006,7/8/2006,3,6,3,ROAD,42.944110,71.662035,1996,W,181,,
61,2006,7/10/2006,2,9,3,TRAIL,42.943200,71.649344,1010,N,1070,,
62,2006,7/10/2006,2,12,1,POND,42.942942,71.649375,1002,N,1075,,
63,2006,7/10/2006,2,9,1,POND,42.942537,71.649534,995,N,1080,,
64,2006,7/10/2006,3,6,1,TRAIL,42.946943,71.644058,1175,N,1426,,
65,2006,7/10/2006,3,9,1,TRAIL,42.946721,71.643679,1126,N,1455,,
66,2006,7/10/2006,3,9,1,TRAIL,42.946386,71.643674,1117,N,1520,,
67,2006,7/10/2006,3,9,2,TRAIL,42.942139,71.642647,642,N,1648,,
68,2006,7/10/2006,3,9,2,TRAIL,42.946452,71.643719,1075,N,1466,,
69,2006,7/11/2006,2,6,3,ROAD,42.924170,71.650973,1355,S,2513,,
70,2006,7/11/2006,2,18,1,POND,42.924617,71.651983,1391,S,2484,,
71,2006,7/11/2006,2,9,2,POND,42.924643,71.652100,1418,S,2442,,
72,2006,7/11/2006,2,9,1,TRAIL,42.924091,71.652993,1480,S,2463,,
73,2006,7/11/2006,2,9,1,TRAIL,42.924407,71.653418,1489,S,2446,,
74,2007,7/9/2007,2,9,2,ROAD,42.944837,71.653426,1454,N,703,,
75,2007,7/9/2007,2,9,2,ROAD,42.945271,71.654877,1511,N,582,,
76,2007,7/10/2007,1,12,1,POND,42.944682,71.654065,1478,N,676,,
77,2007,7/10/2007,1,9,1,TRAIL,42.945166,71.653950,1507,N,676,,
78,2007,7/9/2007,4,6,2,ROAD,42.948575,71.656227,1833,N,437,,
79,2007,7/9/2007,3,12,2,FIELD,42.949331,71.656491,1910,N,417,,
80,2007,7/10/2007,3,9,1,ROAD,42.949301,71.656323,1910,N,421,,
